db_id,institution_code,collection_code,specimen_id,authority,taxonomy_notes,morphospecies,species,subgenus,genus,subtribe,tribe,subfamily,family,superfamily,infraorder,suborder,order,class,ncbi_may_edit,ncbi_search_success,ncbi_species,ncbi_id_rank,ncbi_taxid,variant_status,chimera_notes,traptype,dev_stage,site,locality,subregion,country,latitude,longitude,size,feeding_behaviour,habitat,habitat_stratum,authors,library,datasubmitter,projectname,genbank_accession,notes,contigname
GBDL01741,,,,,,,Coproporus ventricilus,,,,,Tachyporinae,Staphylinidae,Staphylinoidea,Staphyliniformia,Polyphaga,Coleoptera,Insecta,TRUE,TRUE,,subfamily,82876,,,,,,,,Canada,,,,,,,,,,,JF888153,,JF888153
GBDL01742,,,,,,,Adranes taylori,,Adranes,,,Pselaphinae,Staphylinidae,Staphylinoidea,Staphyliniformia,Polyphaga,Coleoptera,Insecta,TRUE,TRUE,Adranes taylori,species,1535445,,,,,,,,,,,,,,,,,,,KM350454,,KM350454
GBDL01743,,,,,,,Simosyrphus grandicornis,,Simosyrphus,,Syrphini,Syrphinae,Syrphidae,Syrphoidea,Muscomorpha,Brachycera,Diptera,Insecta,FALSE,TRUE,Simosyrphus grandicornis,species,290412,,,,,,,,,,,,,,,,,,,DQ866050,,
GBDL01744,,,,,,,Syrphidae sp. MT-2014,,,,,,Syrphidae,Syrphoidea,Muscomorpha,Brachycera,Diptera,Insecta,FALSE,TRUE,Syrphidae sp. MT-2014,species,1560022,,,,,,,,,,,,,,,,,,,KM244713,,
GBDL01745,,,,,,,Ocyptamus sativus,,Ocyptamus,,Syrphini,Syrphinae,Syrphidae,Syrphoidea,Muscomorpha,Brachycera,Diptera,Insecta,FALSE,TRUE,Ocyptamus sativus,species,1783245,,,,,,,,,,,,,,,,,,,KT272862,,
GBDL01746,,,,,,,Episyrphus balteatus,,Episyrphus,,Syrphini,Syrphinae,Syrphidae,Syrphoidea,Muscomorpha,Brachycera,Diptera,Insecta,FALSE,TRUE,Episyrphus balteatus,species,286459,,,,,,,,China,,,,,,,,,,,KU351241,,
GBDL01747,,,,,,,Eupeodes corollae,,Eupeodes,,Syrphini,Syrphinae,Syrphidae,Syrphoidea,Muscomorpha,Brachycera,Diptera,Insecta,FALSE,TRUE,Eupeodes corollae,species,290404,,,,,,,,China,,,,,,,,,,,KU379658,,
GBDL01748,,,,,,,Scaeva pyrastri,,Scaeva,,Syrphini,Syrphinae,Syrphidae,Syrphoidea,Muscomorpha,Brachycera,Diptera,Insecta,FALSE,TRUE,Scaeva pyrastri,species,219539,,,,,,,,,,,,,,,,,,,LR989931,,
GBDL01749,,,,,,,Syritta pipiens,,Syritta,,Xylotini,Eristalinae,Syrphidae,Syrphoidea,Muscomorpha,Brachycera,Diptera,Insecta,FALSE,TRUE,Syritta pipiens,species,34682,,,,,,,,,,,,,,,,,,,LR994576,,
GBDL01750,,,,,,,Xylota sylvarum,,Xylota,,Xylotini,Eristalinae,Syrphidae,Syrphoidea,Muscomorpha,Brachycera,Diptera,Insecta,FALSE,TRUE,Xylota sylvarum,species,374264,,,,,,,,,,,,,,,,,,,LR999962,,
GBDL01751,,,,,,,Lonchoptera multiseta,,Lonchoptera,,,,Lonchopteridae,Platypezoidea,Muscomorpha,Brachycera,Diptera,Insecta,FALSE,TRUE,Lonchoptera multiseta,species,2321081,,,,,,,,,,,,,,,,,,,MF774215,,
